Year-Tm,Year,Tm,Lg,G,W,L,W-L%,#Bat,R/G-hit,PA-hit,AB-hit,R-hit,H-hit,2B-hit,3B-hit,HR-hit,RBI-hit,SB-hit,CS-hit,BB-hit,SO-hit,BA-hit,OBP-hit,SLG-hit,OPS-hit,TB-hit,GDP-hit,HBP-hit,SH-hit,SF-hit,IBB-hit,LOB-hit,OPS+-hit,ERA-pitch,CG-pitch,SHO-pitch,SV-pitch,IP-pitch,H-pitch,R-pitch,ER-pitch,HR-pitch,BB-pitch,IBB-pitch,SO-pitch,HBP-pitch,BK-pitch,WP-pitch,BF-pitch,WHIP-pitch,H9-pitch,HR9-pitch,BB9-pitch,SO9-pitch,SO/W-pitch,ERA+-pitch,Winner
2019MIN,2019,MIN,AL,162.0,101.0,61.0,0.623,39.0,5.8,6392.0,5732.0,939.0,1547.0,318.0,23.0,307.0,906.0,28.0,21.0,525.0,1334.0,0.27,0.33799999999999997,0.494,0.8320000000000001,2832.0,101.0,81.0,10.0,41.0,21.0,1115.0,119.0,4.18,1,0,50,1463.1,1456,754,680,198,452,10,1463,61,5,71,6246,1.304,9.0,1.2,2.8,9.0,3.24,108,False
2019NYY,2019,NYY,AL,162.0,103.0,59.0,0.636,39.0,5.82,6245.0,5583.0,943.0,1493.0,290.0,17.0,306.0,904.0,55.0,22.0,569.0,1437.0,0.267,0.33899999999999997,0.49,0.8290000000000001,2735.0,113.0,49.0,10.0,33.0,18.0,1039.0,117.0,4.31,1,1,50,1443.0,1374,739,691,248,507,12,1534,44,5,55,6133,1.304,8.6,1.5,3.2,9.6,3.03,106,False
2019HOU,2019,HOU,AL,162.0,107.0,55.0,0.66,36.0,5.68,6394.0,5613.0,920.0,1538.0,323.0,28.0,288.0,891.0,67.0,27.0,645.0,1166.0,0.27399999999999997,0.35200000000000004,0.495,0.848,2781.0,146.0,66.0,10.0,57.0,17.0,1168.0,120.0,3.66,2,1,47,1462.1,1205,640,595,230,448,0,1671,41,8,41,5995,1.13,7.4,1.4,2.8,10.3,3.73,127,False
2019LAD,2019,LAD,NL,162.0,106.0,56.0,0.654,46.0,5.47,6282.0,5493.0,886.0,1414.0,302.0,20.0,279.0,861.0,57.0,10.0,607.0,1356.0,0.257,0.33799999999999997,0.47200000000000003,0.81,2593.0,100.0,81.0,55.0,45.0,47.0,1124.0,112.0,3.39,3,1,44,1445.2,1201,613,545,185,392,24,1519,66,7,40,5913,1.102,7.5,1.2,2.4,9.5,3.88,123,False
2018NYY,2018,NYY,AL,162.0,100.0,62.0,0.617,43.0,5.25,6271.0,5515.0,851.0,1374.0,269.0,23.0,267.0,821.0,63.0,21.0,625.0,1421.0,0.249,0.32899999999999996,0.451,0.7809999999999999,2490.0,107.0,62.0,10.0,59.0,21.0,1100.0,112.0,3.78,2,2,49,1456.2,1311,669,611,177,494,9,1634,58,4,73,6141,1.239,8.1,1.1,3.1,10.1,3.31,112,False
2019OAK,2019,OAK,AL,162.0,97.0,65.0,0.599,39.0,5.22,6269.0,5561.0,845.0,1384.0,292.0,23.0,257.0,800.0,49.0,21.0,578.0,1338.0,0.249,0.327,0.44799999999999995,0.7759999999999999,2493.0,140.0,87.0,7.0,36.0,17.0,1081.0,109.0,3.97,1,1,45,1465.0,1342,680,646,201,477,19,1299,66,4,74,6153,1.242,8.2,1.2,2.9,8.0,2.72,107,False
2010TOR,2010,TOR,AL,162.0,85.0,77.0,0.525,35.0,4.66,6072.0,5495.0,755.0,1364.0,319.0,21.0,257.0,732.0,58.0,20.0,471.0,1164.0,0.248,0.312,0.45399999999999996,0.7659999999999999,2496.0,114.0,55.0,16.0,34.0,25.0,1017.0,105.0,4.23,5,2,45,1440.2,1407,728,677,150,539,35,1184,60,3,69,6165,1.351,8.8,0.9,3.4,7.4,2.2,100,False
2019CHC,2019,CHC,NL,162.0,84.0,78.0,0.519,52.0,5.02,6195.0,5461.0,814.0,1378.0,270.0,26.0,256.0,783.0,45.0,24.0,581.0,1460.0,0.252,0.331,0.452,0.7829999999999999,2468.0,127.0,83.0,30.0,39.0,33.0,1071.0,103.0,4.1,1,1,38,1442.1,1376,717,657,195,534,16,1444,80,1,60,6190,1.324,8.6,1.2,3.3,9.0,2.7,106,False
2016BAL,2016,BAL,AL,162.0,89.0,73.0,0.5489999999999999,40.0,4.59,6089.0,5524.0,744.0,1413.0,265.0,6.0,253.0,710.0,19.0,13.0,468.0,1324.0,0.256,0.317,0.44299999999999995,0.76,2449.0,119.0,44.0,17.0,36.0,19.0,1065.0,101.0,4.22,1,0,54,1432.0,1408,715,671,183,545,23,1248,51,3,59,6122,1.364,8.8,1.2,3.4,7.8,2.29,102,False
2019MIL,2019,MIL,NL,162.0,89.0,73.0,0.5489999999999999,50.0,4.75,6309.0,5542.0,769.0,1366.0,279.0,17.0,250.0,744.0,101.0,25.0,629.0,1563.0,0.24600000000000002,0.32899999999999996,0.43799999999999994,0.767,2429.0,120.0,72.0,20.0,38.0,42.0,1180.0,97.0,4.4,0,0,50,1459.2,1364,766,714,225,570,28,1497,60,3,41,6251,1.325,8.4,1.4,3.5,9.2,2.63,102,False
2019ATL,2019,ATL,NL,162.0,97.0,65.0,0.599,50.0,5.28,6302.0,5560.0,855.0,1432.0,277.0,29.0,249.0,824.0,89.0,28.0,619.0,1467.0,0.258,0.336,0.452,0.789,2514.0,104.0,60.0,25.0,35.0,39.0,1138.0,97.0,4.2,1,0,44,1450.2,1421,743,677,203,548,33,1393,69,3,70,6243,1.357,8.8,1.3,3.4,8.6,2.54,113,False
2019TOR,2019,TOR,AL,162.0,67.0,95.0,0.414,47.0,4.48,6091.0,5493.0,726.0,1299.0,270.0,21.0,247.0,697.0,51.0,20.0,509.0,1514.0,0.23600000000000002,0.305,0.428,0.733,2352.0,107.0,45.0,14.0,28.0,10.0,1003.0,94.0,4.79,1,0,33,1440.2,1450,828,767,228,604,25,1332,69,6,70,6313,1.426,9.1,1.4,3.8,8.3,2.21,95,False
2019BOS,2019,BOS,AL,162.0,84.0,78.0,0.519,38.0,5.56,6475.0,5770.0,901.0,1554.0,345.0,27.0,245.0,857.0,68.0,30.0,590.0,1382.0,0.26899999999999996,0.34,0.466,0.8059999999999999,2688.0,127.0,49.0,20.0,44.0,36.0,1170.0,107.0,4.7,1,1,33,1471.0,1423,828,768,215,605,22,1633,76,6,81,6400,1.379,8.7,1.3,3.7,10.0,2.7,104,False
2012NYY,2012,NYY,AL,162.0,95.0,67.0,0.586,39.0,4.96,6231.0,5524.0,804.0,1462.0,280.0,13.0,245.0,774.0,93.0,27.0,565.0,1176.0,0.265,0.337,0.45299999999999996,0.79,2503.0,136.0,62.0,31.0,49.0,31.0,1135.0,112.0,3.85,6,2,51,1445.1,1401,668,619,190,431,32,1318,49,9,53,6085,1.268,8.7,1.2,2.7,8.2,3.06,110,False
2009NYY,2009,NYY,AL,162.0,103.0,59.0,0.636,37.0,5.65,6449.0,5660.0,915.0,1604.0,325.0,21.0,244.0,881.0,111.0,28.0,663.0,1014.0,0.28300000000000003,0.36200000000000004,0.478,0.8390000000000001,2703.0,144.0,54.0,31.0,39.0,35.0,1238.0,114.0,4.28,3,1,51,1450.0,1386,753,689,181,574,28,1260,71,5,66,6247,1.3519999999999999,8.6,1.1,3.6,7.8,2.2,108,False
2019NYM,2019,NYM,NL,162.0,86.0,76.0,0.531,53.0,4.88,6290.0,5624.0,791.0,1445.0,280.0,17.0,242.0,767.0,56.0,27.0,516.0,1384.0,0.257,0.32799999999999996,0.442,0.77,2485.0,129.0,95.0,28.0,27.0,34.0,1128.0,104.0,4.25,3,3,38,1461.0,1405,737,690,204,500,40,1520,60,2,47,6232,1.304,8.7,1.3,3.1,9.4,3.04,98,False
2017NYY,2017,NYY,AL,162.0,91.0,71.0,0.562,44.0,5.3,6354.0,5594.0,858.0,1463.0,266.0,23.0,241.0,821.0,90.0,22.0,616.0,1386.0,0.262,0.33899999999999997,0.447,0.785,2498.0,119.0,64.0,18.0,56.0,22.0,1184.0,105.0,3.75,2,1,36,1448.1,1248,660,603,192,504,18,1560,53,4,83,6078,1.21,7.8,1.2,3.1,9.7,3.1,121,False
2019SEA,2019,SEA,AL,162.0,68.0,94.0,0.42,51.0,4.68,6199.0,5500.0,758.0,1305.0,254.0,28.0,239.0,730.0,115.0,47.0,588.0,1581.0,0.237,0.316,0.424,0.74,2332.0,83.0,58.0,14.0,37.0,7.0,1080.0,99.0,5.0,3,2,34,1439.1,1484,893,799,260,505,25,1239,51,4,75,6268,1.382,9.3,1.6,3.2,7.7,2.45,88,False
2017HOU,2017,HOU,AL,162.0,101.0,61.0,0.623,40.0,5.53,6271.0,5611.0,896.0,1581.0,346.0,20.0,238.0,854.0,98.0,42.0,509.0,1087.0,0.282,0.34600000000000003,0.478,0.823,2681.0,139.0,70.0,11.0,61.0,27.0,1094.0,123.0,4.12,1,0,45,1446.0,1314,700,662,192,522,17,1593,70,4,86,6111,1.27,8.2,1.2,3.2,9.9,3.05,99,False
2018LAD,2018,LAD,NL,163.0,92.0,71.0,0.564,52.0,4.93,6358.0,5572.0,804.0,1394.0,296.0,33.0,235.0,756.0,75.0,24.0,647.0,1436.0,0.25,0.33299999999999996,0.442,0.774,2461.0,119.0,61.0,39.0,39.0,47.0,1163.0,109.0,3.4,0,0,48,1476.0,1279,610,557,179,422,39,1565,61,10,39,6096,1.1520000000000001,7.8,1.1,2.6,9.5,3.71,115,False
2004CHC,2004,CHC,NL,162.0,89.0,73.0,0.5489999999999999,43.0,4.87,6281.0,5628.0,789.0,1508.0,308.0,29.0,235.0,755.0,66.0,28.0,489.0,1080.0,0.268,0.32799999999999996,0.45799999999999996,0.7859999999999999,2579.0,120.0,38.0,78.0,48.0,46.0,1121.0,99.0,3.83,3,2,42,1465.2,1363,665,623,169,545,33,1346,76,9,50,6262,1.3019999999999998,8.4,1.0,3.3,8.3,2.47,116,False
